player_id,player_name,player_display_name,position_x,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,gsis_id,position_y,game_id,offensive_snaps,defensive_snaps,special_teams_snaps,total_snaps,offensive_snap_pct,defensive_snap_pct,special_teams_snap_pct,gsis_id_depth_chart,position,depth_team,fanduel_fantasy_points,seasons_played,last_season,total_games
00-0036008,H.Bryant,Hunter Bryant,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/agkex6nzvopiv5he5eqi",DET,2020,15,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,44.0,0,0.0,0.0,55.0,12.0,1.0,2.1037347,0,0.8,0.054054055,0.15580736,0.19014624,0.0,4.4,5.4,00-0036008,TE,2020_15_DET_TEN,8.0,0.0,8.0,16.0,11.76470588235294,0.0,32.0,00-0036008,TE,3.0,4.9,1,2020,2
00-0036069,S.Phillips,Scottie Phillips,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wa1jecqwos8s5mslgvqk",HOU,2020,15,REG,IND,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,9.0,0,0.0,0.0,0.0,-0.008527739,0,1,1,7.0,0,0.0,0.0,3.0,4.0,0.0,0.6030473,0,2.3333333,0.02631579,0.010238908,0.04664092,0.0,1.6,2.6,00-0036069,RB,2020_15_HOU_IND,4.0,0.0,12.0,16.0,5.47945205479452,0.0,52.17391304347826,00-0036069,RB,3.0,2.1,2,2021,3
00-0036080,E.Winston,Easop Winston,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pjpndfutwa07enkfrxwh",NO,2021,14,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,5.0,0,0.0,0.0,-4.0,9.0,0.0,-0.50927496,0,0.0,0.04761905,-0.04347826,0.040993787,0.0,0.5,1.5,00-0036080,WR,2021_14_NO_NYJ,7.0,0.0,8.0,15.0,10.606060606060606,0.0,26.666666666666668,,,,1.0,1,2021,1
00-0036100,I.Zuber,Isaiah Zuber,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fnnnosvydm195mhksb4s",NE,2020,3,REG,LV,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,13.0,0,0.0,0.0,1.0,0.89476585,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.3,1.3,00-0036100,WR,2020_03_LV_NE,6.0,0.0,0.0,6.0,8.955223880597014,0.0,0.0,,,,1.3,1,2020,4
00-0036110,J.Bradley,Ja'Marcus Bradley,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zt4nt4auwksfvxfclbwk",CLE,2020,16,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,11,60.0,0,0.0,0.0,126.0,11.0,2.0,1.0428364,0,0.47619048,0.22,0.31421447,0.5499501,0.0,6.0,11.0,00-0036110,WR,2020_16_CLE_NYJ,76.0,0.0,0.0,76.0,93.82716049382717,0.0,0.0,,,,8.5,2,2021,3
00-0036133,J.Proche,James Proche,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/me4h87meacls1jjh0cug",BAL,2020,8,REG,PIT,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,4.0,0.0,0.0,-7.5994473,0,0.0,0.03846154,0.01843318,0.07059553,0.0,0.0,0.0,00-0036133,WR,2020_08_PIT_BAL,3.0,0.0,6.0,9.0,3.7037037037037033,0.0,23.07692307692308,00-0036133,WR,3.0,0.0,5,2024,48
00-0036142,I.Wright,Isaiah Wright,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ndgmtw52eaxjpuyfue4m",WAS,2020,3,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,6.0,0,0.0,0.0,0.0,0.19058737,0,4,6,24.0,0,0.0,0.0,32.0,26.0,1.0,0.13202201,0,0.75,0.16666667,0.13114753,0.34180328,0.0,3.0,7.0,00-0036142,WR,2020_03_WAS_CLE,29.0,0.0,14.0,43.0,43.93939393939394,0.0,50.0,00-0036142,WR,2.0,5.0,1,2020,31
00-0036173,T.Hudson,Tommy Hudson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qjv7a2gvgt7w8voytjeb",TEN,2021,2,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,14.0,0,0.0,0.0,2.0,14.0,1.0,-1.2691766,0,7.0,0.051282052,0.0049261083,0.08037135,0.0,1.4,2.4,00-0036173,TE,2021_02_TEN_SEA,21.0,0.0,7.0,28.0,23.59550561797753,0.0,20.0,00-0036173,TE,3.0,1.9,1,2021,4
00-0036188,A.Williams,Antonio Williams,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lrv5bhws8lzbwqernv6s",BUF,2020,17,REG,MIA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,12,63.0,2,0.0,0.0,4.0,2.2319784,0,1,1,20.0,0,0.0,0.0,4.0,16.0,1.0,1.4815832,0,5.0,0.027027028,0.008714597,0.046640757,0.0,20.3,21.3,00-0036188,RB,2020_17_MIA_BUF,25.0,0.0,0.0,25.0,40.98360655737705,0.0,0.0,,,,20.8,1,2020,1
00-0036194,D.Asiasi,Devin Asiasi,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ag0lglz7kkq6d29iqxl8",NE,2020,14,REG,LA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,7.0,0.0,0.0,-3.31813,0,0.0,0.04347826,0.049295776,0.099724434,0.0,0.0,0.0,00-0036194,TE,2020_14_NE_LA,23.0,0.0,0.0,23.0,38.983050847457626,0.0,0.0,,,,0.0,2,2022,7
00-0036196,G.Davis,Gabe Davis,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rlmgjtfct5qjtbwcjqg6",BUF,2020,1,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,16.0,0,0.0,0.0,8.0,8.0,0.0,0.40253755,0,2.0,0.044444446,0.02919708,0.087104626,0.0,1.6,3.6,00-0036196,WR,2020_01_NYJ_BUF,41.0,0.0,3.0,44.0,74.54545454545455,0.0,11.538461538461538,00-0036196,WR,2.0,2.6,5,2024,81
00-0036197,J.Fromm,Jake Fromm,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ttrbh2olexnevobzvhub",NYG,2021,15,REG,DAL,6,12,82.0,0,0.0,1.0,3.0,0,0,123.0,16.0,4.0,-0.6246031,0,0.6666667,0.0028492655,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,3.28,3.28,00-0036197,QB,2021_15_DAL_NYG,16.0,0.0,0.0,16.0,23.18840579710145,0.0,0.0,00-0036197,QB,3.0,3.28,1,2021,3
00-0036208,A.Pierce,Artavis Pierce,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yyb62mnfyphbutq3hpy7",CHI,2020,10,REG,MIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,9.0,0,0.0,0.0,0.0,-0.95150626,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.9,0.9,00-0036208,RB,2020_10_MIN_CHI,6.0,0.0,0.0,6.0,12.244897959183673,0.0,0.0,00-0036208,RB,3.0,0.9,1,2020,3
00-0036219,M.Callaway,Marquez Callaway,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zrqsn3ae99gkgpi97qzr",NO,2020,4,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,16.0,0,0.0,0.0,11.0,5.0,1.0,0.92211956,0,1.4545455,0.04,0.047210302,0.09304721,0.0,1.6,2.6,00-0036219,WR,2020_04_NO_DET,15.0,0.0,4.0,19.0,22.388059701492537,0.0,16.0,00-0036219,WR,2.0,2.1,3,2022,98
00-0036226,J.Eason,Jacob Eason,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e2qgyhtngjk0llvaswxe",IND,2021,2,REG,LA,2,5,25.0,0,1.0,0.0,-0.0,0,0,63.0,7.0,2.0,-3.102543,0,0.3968254,-0.089296356,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-1.0,-1.0,00-0036226,QB,2021_02_LA_IND,5.0,0.0,0.0,5.0,7.246376811594203,0.0,0.0,00-0036226,QB,2.0,0.0,2,2022,2
00-0036228,D.Patmon,Dezmon Patmon,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mqyc6dcbtujx7ioohpmv",IND,2021,9,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,7.0,0,0.0,0.0,4.0,3.0,0.0,0.15193552,0,1.75,0.03448276,0.016949153,0.063588545,0.0,0.7,1.7,00-0036228,WR,2021_09_NYJ_IND,20.0,0.0,0.0,20.0,32.78688524590164,0.0,0.0,,,,1.2000000000000002,2,2022,5
00-0036245,M.Perry,Malcolm Perry,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eni8pcqq0hvcat9cvirr",MIA,2020,8,REG,LA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-5.0,0,0.0,0.0,0.0,-1.5538379,0,1,1,10.0,0,0.0,0.0,2.0,8.0,1.0,0.7690314,0,5.0,0.045454547,0.016949153,0.08004622,0.0,0.5,1.5,00-0036245,RB,2020_08_LA_MIA,7.0,0.0,0.0,7.0,14.583333333333334,0.0,0.0,00-0036245,RB,3.0,1.0,1,2020,16
