Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107566-90400,QB,Jaren,Jaren Hall,Hall,0.7799999713897705,4,6000,NYG@SEA,SEA,NYG,,,,,,QB
107566-90406,QB,Zach,Zach Wilson,Wilson,10.578333536783854,12,6000,LV@DEN,DEN,LV,,,,,,QB
107566-185640,QB,Dresser,Dresser Winn,Winn,0,1,6000,GB@LAR,LAR,GB,,,,,,QB
107566-53562,RB,Nick,Nick Chubb,Chubb,10.550000190734863,2,6000,CLE@WAS,CLE,WAS,NA,Knee - acl + mcl,,,,RB/FLEX
107566-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,9.137499809265137,8,6000,GB@LAR,LAR,GB,,,,,,QB
107566-27986,QB,C.J.,C.J. Beathard,Beathard,3.576666514078776,6,6000,IND@JAC,JAC,IND,,,,,,QB
107566-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,2,6000,IND@JAC,IND,JAC,,,,,,QB
107566-60840,QB,Jake,Jake Browning,Browning,12.578333536783854,12,6000,BAL@CIN,CIN,BAL,,,,,,QB
107566-185776,QB,Tyson,Tyson Bagent,Bagent,11.851999664306641,5,6000,CAR@CHI,CHI,CAR,,,,,,QB
107566-91583,QB,Stetson,Stetson Bennett,Bennett,,0,6000,GB@LAR,LAR,GB,,,,,,QB
107566-31170,QB,Brandon,Brandon Allen,Allen,-0.10000000149011612,1,6000,ARI@SF,SF,ARI,,,,,,QB
107566-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,15.0600004196167,2,6000,MIA@NE,MIA,NE,IR,Concussion,,,,QB
107566-22994,QB,Case,Case Keenum,Keenum,3.184999942779541,4,6000,BUF@HOU,HOU,BUF,IR,Foot,,,,QB
107566-40407,QB,Joshua,Joshua Dobbs,Dobbs,16.204615666316105,13,6000,ARI@SF,SF,ARI,,,,,,QB
107566-90584,QB,Mac,Mac Jones,Jones,-1.1200000047683716,1,6000,IND@JAC,JAC,IND,,,,,,QB
107566-22015,QB,Russell,Russell Wilson,Wilson,17.65999959309896,15,6000,DAL@PIT,PIT,DAL,Q,Calf,,,,QB
107566-60947,QB,Jarrett,Jarrett Stidham,Stidham,9.213333129882812,3,6000,LV@DEN,DEN,LV,,,,,,QB
107566-102933,QB,Kedon,Kedon Slovis,Slovis,,0,6000,BUF@HOU,HOU,BUF,,,,,,QB
107566-114198,WR,Xavier,Xavier Legette,Legette,9.09999974568685,3,6000,CAR@CHI,CAR,CHI,,,,,,WR/FLEX
107566-94748,QB,Tommy,Tommy DeVito,DeVito,10.726666768391928,9,6000,NYG@SEA,NYG,SEA,,,,,,QB
107566-89628,QB,Davis,Davis Mills,Mills,3.1600000858306885,1,6000,BUF@HOU,HOU,BUF,,,,,,QB
107566-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,CLE@WAS,WAS,CLE,,,,,,QB
107566-30253,QB,Jeff,Jeff Driskel,Driskel,7.96999979019165,2,6000,CLE@WAS,WAS,CLE,,,,,,QB
107566-64051,QB,Drew,Drew Lock,Lock,5.353333155314128,6,6000,NYG@SEA,NYG,SEA,,,,,,QB
107566-112191,QB,John Rhys,John Rhys Plumlee,Plumlee,,0,6000,IND@JAC,JAC,IND,,,,,,QB
107566-40534,QB,Mike,Mike White,White,0.43714284896850586,7,6000,BUF@HOU,BUF,HOU,,,,,,QB
107566-72297,RB,Rico,Rico Dowdle,Dowdle,7.824999809265137,4,6000,DAL@PIT,DAL,PIT,,,,,,RB/FLEX
107566-86641,QB,Tanner,Tanner Mordecai,Mordecai,,0,6000,ARI@SF,SF,ARI,,,,,,QB
107566-87691,QB,Malik,Malik Willis,Willis,12.786666870117188,3,6000,GB@LAR,GB,LAR,,,,,,QB
107566-110246,WR,George,George Pickens,Pickens,9.600000381469727,4,6000,DAL@PIT,PIT,DAL,,,,,,WR/FLEX
107566-44715,QB,Cooper,Cooper Rush,Rush,0.07000000029802322,2,6000,DAL@PIT,DAL,PIT,,,,,,QB
107566-29358,QB,Marcus,Marcus Mariota,Mariota,4.253333409627278,3,6000,CLE@WAS,WAS,CLE,IR,Chest,,,,QB
107566-93878,QB,Devin,Devin Leary,Leary,,0,6000,BAL@CIN,BAL,CIN,,,,,,QB
107566-90813,QB,Clayton,Clayton Tune,Tune,-2.5999999046325684,1,6000,ARI@SF,ARI,SF,,,,,,QB
107566-52929,QB,Jake,Jake Luton,Luton,,0,6000,CAR@CHI,CAR,CHI,Q,Shoulder,,,,QB
107566-69333,QB,Jacob,Jacob Eason,Eason,,0,6000,GB@LAR,GB,LAR,,,,,,QB
107566-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,-0.033333333830038704,3,6000,BUF@HOU,BUF,HOU,,,,,,QB
107566-92904,QB,Rocky,Rocky Lombardi,Lombardi,,0,6000,BAL@CIN,CIN,BAL,,,,,,QB
107566-86775,QB,Jacob,Jacob Sirmon,Sirmon,,0,6000,CLE@WAS,CLE,WAS,,,,,,QB
107566-91898,QB,Dorian,Dorian Thompson-Robinson,Thompson-Robinson,2.9000000423855252,9,6000,CLE@WAS,CLE,WAS,,,,,,QB
107566-152316,QB,Drake,Drake Maye,Maye,2.0799999237060547,1,6000,MIA@NE,NE,MIA,,,,,,QB
107566-92975,QB,Malik,Malik Cunningham,Cunningham,0,1,6000,BAL@CIN,BAL,CIN,,,,,,QB
107566-119606,QB,Bryce,Bryce Young,Young,7.300000190734863,2,6000,CAR@CHI,CAR,CHI,,,,,,QB
107566-8023,QB,Josh,Josh Johnson,Johnson,0.03999999910593033,1,6000,BAL@CIN,BAL,CIN,,,,,,QB
107566-41827,QB,PJ,PJ Walker,Walker,4.159999847412109,6,6000,NYG@SEA,SEA,NYG,,,,,,QB
